,well,R2,mse,rmse,mae,rRMSE
0,Well-1,0.6977070575326505,0.07791302390225943,0.2791290452501485,0.19942696154957112,"0    0.279129
dtype: float64"
1,Well-2,0.6796438631115258,0.09261223428668817,0.30432258261044015,0.1949464201591385,"0    0.304323
dtype: float64"
2,Well-3,0.305694048897979,0.3543985981358928,0.5953138652306805,0.5236897116647639,"0    0.595314
dtype: float64"
3,Well-4,0.7809983067615658,0.07911589743121512,0.28127548316768586,0.20973083066268722,"0    0.281275
dtype: float64"
4,Well-5,0.7088996879041575,0.1203016668187673,0.3468453067561493,0.2730160096217769,"0    0.346845
dtype: float64"
5,Well-6,-0.09234132296596065,0.4844339876709018,0.6960129220574154,0.49577493981016624,"0    0.696013
dtype: float64"
6,Well-7,0.8661989993917696,0.053405636150240327,0.23109659484778292,0.16501471685131947,"0    0.231097
dtype: float64"
7,Well-8,0.9111612687244077,0.03366812427079901,0.18348875788668637,0.1323094925858046,"0    0.183489
dtype: float64"
8,Well-9,0.6131760738005814,0.2550449793213329,0.5050197811188517,0.29612597326717444,"0    0.50502
dtype: float64"
9,Well-10,0.8091153306982894,0.5872844887426785,0.7663448888996902,0.4669403835529452,"0    0.766345
dtype: float64"
10,Well-11,0.4554870967515917,5.909173106219318,2.4308790809539085,0.8949292366493475,"0    2.430879
dtype: float64"
11,Well-12,0.20620302518824796,0.4272396336830498,0.653635704106691,0.33904860662182723,"0    0.653636
dtype: float64"
12,Well-13,0.9793050479591565,0.04711379747422681,0.21705712951715456,0.1548875688722996,"0    0.217057
dtype: float64"
13,Well-14,0.8965678824402092,0.044853075945098894,0.2117854479068354,0.15323723233361763,"0    0.211785
dtype: float64"
14,Well-15,0.6368994206527545,0.24761264213174589,0.49760691527725565,0.30380787952405175,"0    0.497607
dtype: float64"
15,Well-16,-0.2228013318258819,0.5811413231785248,0.7623262576997626,0.604303154027518,"0    0.762326
dtype: float64"
