,well,R2,mse,rmse,mae
0,Well-1,0.8404184706581213,0.03902510983026495,0.19754774063568772,0.1404685236254769
1,Well-2,0.7232717691327692,0.07037441778862598,0.26528177055468016,0.15318634033203138
2,Well-3,-1.0474680610621303,0.5427832347134496,0.7367382402953233,0.6678274930139102
3,Well-4,0.7895577372697262,0.05740775024508496,0.23959914491726583,0.16969848668631252
4,Well-5,0.8056612983920945,0.08579895019647234,0.2929145783269797,0.19044503798507187
5,Well-6,-0.3246036359780786,0.35256579058957743,0.5937725074383096,0.5325493066635486
6,Well-7,0.8575275744625505,0.05018536893135388,0.2240209118170754,0.15689857805278934
7,Well-8,0.886226787340805,0.03723383174164574,0.19296069999262994,0.13859545891273767
8,Well-9,0.34160355095443895,0.32980584348983477,0.5742872482389233,0.3750219461503723
9,Well-10,0.8672141418238075,0.44861501789784797,0.6697872930250678,0.4449500794030128
10,Well-11,0.2771687810212293,6.208949472086856,2.491776368795333,0.9120642516086918
11,Well-12,-0.2679602053137431,0.41027733188694426,0.6405289469547369,0.33979197470794825
12,Well-13,0.9855164049078292,0.03304141248633387,0.18177296962511744,0.16837391884673938
13,Well-14,0.7646247468720031,0.07935696155510674,0.2817036768576277,0.2187046015206636
14,Well-15,0.5091121875457245,0.21781510902868137,0.4667066627215444,0.2718185822392854
15,Well-16,-2.1416863278428435,0.64580273685429,0.8036185269481347,0.724250225371598
